Macrotrends Data Download,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
date, value,ln(st/st-1),,,,,,,,,,,,
3/27/2009,927,0.004324331,,,,,,,,,,,,
3/30/2009,923,0.00488733,,,,,,,,,,,,
3/31/2009,918.5,-0.001088139,,,,,,,,,,,,
4/1/2009,919.5,0.00517924,,,,,,,,,,,,
4/2/2009,914.75,0.014590761,,,,,,,,,,,,
4/3/2009,901.5,0.024706478,,,,,,,,,,,,
4/6/2009,879.5,0.000284293,,,,,,,,,,,,
4/7/2009,879.25,-0.00905752,,,,,,,,,,,,
4/8/2009,887.25,0.003952574,,,,,,,,,,,,
4/9/2009,883.75,-0.012649501,,,,,,,,,,,,
4/14/2009,895,0.003077356,,,,,,,,,,,,
4/15/2009,892.25,0.003649127,,,,,,,,,,,,
4/16/2009,889,0.019307812,,,,,,,,,,,,
4/17/2009,872,0.002296212,,,,,,,,,,,,
4/20/2009,870,-0.021322769,,,,,,,,,,,,
4/21/2009,888.75,0.004228336,,,,,,,,,,,,
4/22/2009,885,-0.010677258,,,,,,,,,,,,
4/23/2009,894.5,-0.016080191,,,,,,,,,,,,
4/24/2009,909,-0.003020736,,,,,,,,,,,,
4/27/2009,911.75,0.016309968,,,,,,,,,,,,
4/28/2009,897,0.002790959,,,,,,,,,,,,
4/29/2009,894.5,0.006167667,,,,,,,,,,,,
4/30/2009,889,0.008472234,,,,,,,,,,,,
5/1/2009,881.5,-0.024097552,,,,,,,,,,,,
5/5/2009,903,-0.000553557,,,,,,,,,,,,
5/6/2009,903.5,-0.010185911,,,,,,,,,,,,
5/7/2009,912.75,-0.005190559,,,,,,,,,,,,
5/8/2009,917.5,0.005464494,,,,,,,,,,,,
5/11/2009,912.5,-0.008185585,,,,,,,,,,,,
5/12/2009,920,-0.00623055,,,,,,,,,,,,
5/13/2009,925.75,0.002704166,,,,,,,,,,,,
5/14/2009,923.25,-0.001893684,,,,,,,,,,,,
5/15/2009,925,-0.005121995,,,,,,,,,,,,
5/18/2009,929.75,0.008912956,,,,,,,,,,,,
5/19/2009,921.5,-0.007567604,,,,,,,,,,,,
5/20/2009,928.5,-0.012309494,,,,,,,,,,,,
5/21/2009,940,-0.013210232,,,,,,,,,,,,
5/22/2009,952.5,0.011084832,,,,,,,,,,,,
5/26/2009,942,-0.007930256,,,,,,,,,,,,
5/27/2009,949.5,-0.000263262,,,,,,,,,,,,
5/28/2009,949.75,-0.023157012,,,,,,,,,,,,
5/29/2009,972,-0.015314235,,,,,,,,,,,,
6/1/2009,987,0.013772215,,,,,,,,,,,,
6/2/2009,973.5,-0.005633818,,,,,,,,,,,,
6/3/2009,979,0.012074649,,,,,,,,,,,,
6/4/2009,967.25,-0.01079702,,,,,,,,,,,,
6/5/2009,977.75,0.032483043,,,,,,,,,,,,
6/8/2009,946.5,-0.006319136,,,,,,,,,,,,
6/9/2009,952.5,-0.009144414,,,,,,,,,,,,
6/10/2009,961.25,0.008619617,,,,,,,,,,,,
6/11/2009,953,0.003152919,,,,,,,,,,,,
6/12/2009,950,0.01912917,,,,,,,,,,,,
6/15/2009,932,-0.005083623,,,,,,,,,,,,
6/16/2009,936.75,0.003207701,,,,,,,,,,,,
6/17/2009,933.75,-0.003207701,,,,,,,,,,,,
6/18/2009,936.75,0.003207701,,,,,,,,,,,,
6/19/2009,933.75,0.010496665,,,,,,,,,,,,
6/22/2009,924,0.004066699,,,,,,,,,,,,
6/23/2009,920.25,-0.009194224,,,,,,,,,,,,
6/24/2009,928.75,-0.005904472,,,,,,,,,,,,
6/25/2009,934.25,-0.009322214,,,,,,,,,,,,
6/26/2009,943,0.0034524,,,,,,,,,,,,
6/29/2009,939.75,-0.001329257,,,,,,,,,,,,
6/30/2009,941,0.01014695,,,,,,,,,,,,
7/1/2009,931.5,-0.004819286,,,,,,,,,,,,
