Macrotrends Data Download,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
date, value,ln(st/st-1),,,,,,,,,,,,
5/14/2010,1238.75,0.006885406,,,,,,,,,,,,
5/17/2010,1230.25,0.012473324,,,,,,,,,,,,
5/18/2010,1215,0.004537026,,,,,,,,,,,,
5/19/2010,1209.5,0.018567343,,,,,,,,,,,,
5/20/2010,1187.25,0.003163558,,,,,,,,,,,,
5/21/2010,1183.5,-0.000211216,,,,,,,,,,,,
5/24/2010,1183.75,-0.004845685,,,,,,,,,,,,
5/25/2010,1189.5,-0.019151293,,,,,,,,,,,,
5/26/2010,1212.5,0.001444342,,,,,,,,,,,,
5/27/2010,1210.75,-0.00268069,,,,,,,,,,,,
5/28/2010,1214,-0.004725227,,,,,,,,,,,,
6/1/2010,1219.75,-0.001024275,,,,,,,,,,,,
6/2/2010,1221,0.001024275,,,,,,,,,,,,
6/3/2010,1219.75,0.013411941,,,,,,,,,,,,
6/4/2010,1203.5,-0.007367888,,,,,,,,,,,,
6/7/2010,1212.4,-0.028940404,,,,,,,,,,,,
6/8/2010,1248,0.0104713,,,,,,,,,,,,
6/9/2010,1235,0.012220111,,,,,,,,,,,,
6/10/2010,1220,-0.000409752,,,,,,,,,,,,
6/11/2010,1220.5,-0.007346972,,,,,,,,,,,,
6/14/2010,1229.5,0.005300726,,,,,,,,,,,,
6/15/2010,1223,-0.01016889,,,,,,,,,,,,
6/16/2010,1235.5,0.000809717,,,,,,,,,,,,
6/17/2010,1234.5,-0.007665965,,,,,,,,,,,,
6/18/2010,1244,-0.012382822,,,,,,,,,,,,
6/21/2010,1259.5,0.019441438,,,,,,,,,,,,
6/22/2010,1235.25,-0.006254434,,,,,,,,,,,,
6/23/2010,1243,0.007874851,,,,,,,,,,,,
6/24/2010,1233.25,-0.007472518,,,,,,,,,,,,
6/25/2010,1242.5,-0.010806589,,,,,,,,,,,,
6/28/2010,1256,0.016051709,,,,,,,,,,,,
6/29/2010,1236,-0.003634165,,,,,,,,,,,,
6/30/2010,1240.5,0.000403145,,,,,,,,,,,,
7/1/2010,1240,0.024077882,,,,,,,,,,,,
7/2/2010,1210.5,0.001653576,,,,,,,,,,,,
7/5/2010,1208.5,-0.001860081,,,,,,,,,,,,
7/6/2010,1210.75,0.020653702,,,,,,,,,,,,
7/7/2010,1186,-0.012776381,,,,,,,,,,,,
7/8/2010,1201.25,0.004171018,,,,,,,,,,,,
7/9/2010,1196.25,-0.00625002,,,,,,,,,,,,
7/12/2010,1203.75,-0.002281922,,,,,,,,,,,,
7/13/2010,1206.5,-0.004754531,,,,,,,,,,,,
7/14/2010,1212.25,0.000412541,,,,,,,,,,,,
7/15/2010,1211.75,0.005793519,,,,,,,,,,,,
7/16/2010,1204.75,0.012108707,,,,,,,,,,,,
7/19/2010,1190.25,0.007378551,,,,,,,,,,,,
7/20/2010,1181.5,-0.008218358,,,,,,,,,,,,
7/21/2010,1191.25,0.00357406,,,,,,,,,,,,
7/22/2010,1187,-0.009850232,,,,,,,,,,,,
7/23/2010,1198.75,0.00816673,,,,,,,,,,,,
7/26/2010,1189,0.004214081,,,,,,,,,,,,
7/27/2010,1184,0.017036187,,,,,,,,,,,,
7/28/2010,1164,-0.001716739,,,,,,,,,,,,
7/29/2010,1166,-0.001713796,,,,,,,,,,,,
7/30/2010,1168,-0.008525201,,,,,,,,,,,,
8/2/2010,1178,-0.005080451,,,,,,,,,,,,
8/3/2010,1184,-0.008829151,,,,,,,,,,,,
8/4/2010,1194.5,-0.00083682,,,,,,,,,,,,
8/5/2010,1195.5,0.00083682,,,,,,,,,,,,
8/6/2010,1194.5,-0.009581411,,,,,,,,,,,,
8/9/2010,1206,0.007699549,,,,,,,,,,,,
8/10/2010,1196.75,-0.00104395,,,,,,,,,,,,
8/11/2010,1198,-0.001668057,,,,,,,,,,,,
8/12/2010,1200,-0.01242252,,,,,,,,,,,,
8/13/2010,1215,-0.005744784,,,,,,,,,,,,
8/16/2010,1222,-0.003471871,,,,,,,,,,,,
8/17/2010,1226.25,0.002653875,,,,,,,,,,,,
8/18/2010,1223,-0.004079973,,,,,,,,,,,,
8/19/2010,1228,-0.002033761,,,,,,,,,,,,
8/20/2010,1230.5,0.002848425,,,,,,,,,,,,
8/23/2010,1227,0.007361996,,,,,,,,,,,,
8/24/2010,1218,-0.015883046,,,,,,,,,,,,
8/25/2010,1237.5,-0.002219757,,,,,,,,,,,,
8/26/2010,1240.25,0.004646942,,,,,,,,,,,,
8/27/2010,1234.5,0.000810373,,,,,,,,,,,,
8/31/2010,1233.5,-0.013287894,,,,,,,,,,,,
9/1/2010,1250,0.001801622,,,,,,,,,,,,
9/2/2010,1247.75,-0.003400343,,,,,,,,,,,,
9/3/2010,1252,0.001998801,,,,,,,,,,,,
9/6/2010,1249.5,0.001802344,,,,,,,,,,,,
9/7/2010,1247.25,-0.008582031,,,,,,,,,,,,
9/8/2010,1258,0.00358352,,,,,,,,,,,,
9/9/2010,1253.5,0.003796588,,,,,,,,,,,,
9/10/2010,1248.75,0.004615238,,,,,,,,,,,,
9/13/2010,1243,-0.008212365,,,,,,,,,,,,
9/14/2010,1253.25,-0.013591634,,,,,,,,,,,,
9/15/2010,1270.4,-0.000668857,,,,,,,,,,,,
9/16/2010,1271.25,-0.008030598,,,,,,,,,,,,
9/17/2010,1281.5,0.000975895,,,,,,,,,,,,
9/20/2010,1280.25,0.001172333,,,,,,,,,,,,
9/21/2010,1278.75,-0.01011485,,,,,,,,,,,,
9/22/2010,1291.75,0.000193555,,,,,,,,,,,,
9/23/2010,1291.5,-0.005020285,,,,,,,,,,,,
9/24/2010,1298,-0.000192585,,,,,,,,,,,,
9/27/2010,1298.25,0.00715048,,,,,,,,,,,,
9/28/2010,1289,-0.014250193,,,,,,,,,,,,
9/29/2010,1307.5,-0.002673288,,,,,,,,,,,,
9/30/2010,1311,-0.001524391,,,,,,,,,,,,
10/1/2010,1313,-0.002282238,,,,,,,,,,,,
10/4/2010,1316,-0.007381504,,,,,,,,,,,,
10/5/2010,1325.75,-0.01590156,,,,,,,,,,,,
10/6/2010,1347,-0.009237088,,,,,,,,,,,,
10/7/2010,1359.5,0.021562174,,,,,,,,,,,,
10/8/2010,1330.5,-0.013438052,,,,,,,,,,,,
10/11/2010,1348.5,0.003714715,,,,,,,,,,,,
10/12/2010,1343.5,-0.011103001,,,,,,,,,,,,
10/13/2010,1358.5,-0.01624568,,,,,,,,,,,,
10/14/2010,1380.75,0.002538072,,,,,,,,,,,,
10/15/2010,1377.25,0.012787898,,,,,,,,,,,,
10/18/2010,1359.75,-0.005866195,,,,,,,,,,,,
10/19/2010,1367.75,0.020124375,,,,,,,,,,,,
10/20/2010,1340.5,-0.003537191,,,,,,,,,,,,
10/21/2010,1345.25,0.019705996,,,,,,,,,,,,
10/22/2010,1319,-0.019520139,,,,,,,,,,,,
10/25/2010,1345,0.008212066,,,,,,,,,,,,
10/26/2010,1334,0.001312705,,,,,,,,,,,,
10/27/2010,1332.25,0.004325348,,,,,,,,,,,,
10/28/2010,1326.5,-0.0076974,,,,,,,,,,,,
10/29/2010,1336.75,-0.018345738,,,,,,,,,,,,
11/1/2010,1361.5,0.002574004,,,,,,,,,,,,
11/2/2010,1358,-0.000368121,,,,,,,,,,,,
11/3/2010,1358.5,-0.001838574,,,,,,,,,,,,
11/4/2010,1361,-0.016938753,,,,,,,,,,,,
11/5/2010,1384.25,-0.00414527,,,,,,,,,,,,
11/8/2010,1390,-0.018708786,,,,,,,,,,,,
11/9/2010,1416.25,0.010112745,,,,,,,,,,,,
11/10/2010,1402,-0.007815315,,,,,,,,,,,,
11/11/2010,1413,0.018571962,,,,,,,,,,,,
11/12/2010,1387,0.014524584,,,,,,,,,,,,
11/15/2010,1367,0.002747003,,,,,,,,,,,,
11/16/2010,1363.25,0.019817298,,,,,,,,,,,,
11/17/2010,1336.5,-0.015037877,,,,,,,,,,,,
11/18/2010,1356.75,-0.000552639,,,,,,,,,,,,
11/19/2010,1357.5,0,,,,,,,,,,,,
11/22/2010,1357.5,-0.002574951,,,,,,,,,,,,
11/23/2010,1361,-0.011142685,,,,,,,,,,,,
11/24/2010,1376.25,0.004186772,,,,,,,,,,,,
11/25/2010,1370.5,0.00292291,,,,,,,,,,,,
11/26/2010,1366.5,0.004768027,,,,,,,,,,,,
11/29/2010,1360,-0.010969031,,,,,,,,,,,,
11/30/2010,1375,-0.011928571,,,,,,,,,,,,
12/1/2010,1391.5,0.001078555,,,,,,,,,,,,
12/2/2010,1390,-0.001258201,,,,,,,,,,,,
12/3/2010,1391.75,-0.014091021,,,,,,,,,,,,
12/6/2010,1411.5,-0.010220353,,,,,,,,,,,,
12/7/2010,1426,0.021978907,,,,,,,,,,,,
12/8/2010,1395,0.00936269,,,,,,,,,,,,
12/9/2010,1382,-0.005772022,,,,,,,,,,,,
12/10/2010,1390,0.001259786,,,,,,,,,,,,
12/13/2010,1388.25,-0.011993342,,,,,,,,,,,,
12/14/2010,1405,0.011993342,,,,,,,,,,,,
12/15/2010,1388.25,0.003066104,,,,,,,,,,,,
12/16/2010,1384,0.006705961,,,,,,,,,,,,
12/17/2010,1374.75,-0.004535978,,,,,,,,,,,,
12/20/2010,1381,-0.003614026,,,,,,,,,,,,
12/21/2010,1386,-0.002162163,,,,,,,,,,,,
12/22/2010,1389,0.003606207,,,,,,,,,,,,
12/23/2010,1384,0.002532105,,,,,,,,,,,,
12/24/2010,1380.5,-0.016523364,,,,,,,,,,,,
12/29/2010,1403.5,-0.005683852,,,,,,,,,,,,
12/30/2010,1411.5,0.000885975,,,,,,,,,,,,
12/31/2010,1410.25,0.003373882,,,,,,,,,,,,
1/4/2011,1405.5,0.016318841,,,,,,,,,,,,
1/5/2011,1382.75,0.00489353,,,,,,,,,,,,
1/6/2011,1376,0.01316771,,,,,,,,,,,,
1/7/2011,1358,-0.007519522,,,,,,,,,,,,
1/10/2011,1368.25,-0.009275323,,,,,,,,,,,,
1/11/2011,1381,-0.001808646,,,,,,,,,,,,
1/12/2011,1383.5,0.00198969,,,,,,,,,,,,
1/13/2011,1380.75,0.008363685,,,,,,,,,,,,
1/14/2011,1369.25,0.008618372,,,,,,,,,,,,
1/17/2011,1357.5,-0.008253142,,,,,,,,,,,,
1/18/2011,1368.75,-0.003646312,,,,,,,,,,,,
1/19/2011,1373.75,0.006756166,,,,,,,,,,,,
1/20/2011,1364.5,0.015137819,,,,,,,,,,,,
1/21/2011,1344,-0.002600782,,,,,,,,,,,,
1/24/2011,1347.5,0.016084132,,,,,,,,,,,,
1/25/2011,1326,-0.007138862,,,,,,,,,,,,
1/26/2011,1335.5,-0.001496446,,,,,,,,,,,,
1/27/2011,1337.5,0.016205367,,,,,,,,,,,,
1/28/2011,1316,-0.013210232,,,,,,,,,,,,
1/31/2011,1333.5,-0.002995135,,,,,,,,,,,,
2/1/2011,1337.5,0.000373902,,,,,,,,,,,,
2/2/2011,1337,0.003371421,,,,,,,,,,,,
2/3/2011,1332.5,-0.011194147,,,,,,,,,,,,
2/4/2011,1347.5,0.000371126,,,,,,,,,,,,
2/7/2011,1347,-0.005183277,,,,,,,,,,,,
2/8/2011,1354,-0.006258073,,,,,,,,,,,,
2/9/2011,1362.5,0.002756088,,,,,,,,,,,,
2/10/2011,1358.75,-0.000183976,,,,,,,,,,,,
2/11/2011,1359,0.001657001,,,,,,,,,,,,
2/14/2011,1356.75,-0.011359594,,,,,,,,,,,,
2/15/2011,1372.25,-0.0016383,,,,,,,,,,,,
2/16/2011,1374.5,-0.001817191,,,,,,,,,,,,
2/17/2011,1377,-0.006153866,,,,,,,,,,,,
2/18/2011,1385.5,-0.010053945,,,,,,,,,,,,
2/21/2011,1399.5,0.003579102,,,,,,,,,,,,
2/22/2011,1394.5,-0.004828767,,,,,,,,,,,,
2/23/2011,1401.25,-0.009411416,,,,,,,,,,,,
2/24/2011,1414.5,0.006738809,,,,,,,,,,,,
2/25/2011,1405,-0.003375081,,,,,,,,,,,,
2/28/2011,1409.75,-0.003363728,,,,,,,,,,,,
3/1/2011,1414.5,-0.011247922,,,,,,,,,,,,
3/2/2011,1430.5,0,,,,,,,,,,,,
3/3/2011,1430.5,0.008776605,,,,,,,,,,,,
3/4/2011,1418,-0.013310179,,,,,,,,,,,,
3/7/2011,1437,0.001392758,,,,,,,,,,,,
3/8/2011,1435,0.002442004,,,,,,,,,,,,
3/9/2011,1431.5,0.005077486,,,,,,,,,,,,
3/10/2011,1424.25,0.010232976,,,,,,,,,,,,
3/11/2011,1409.75,-0.010408491,,,,,,,,,,,,
3/14/2011,1424.5,0.012361097,,,,,,,,,,,,
3/15/2011,1407,0.006059544,,,,,,,,,,,,
3/16/2011,1398.5,-0.003568883,,,,,,,,,,,,
3/17/2011,1403.5,-0.008513709,,,,,,,,,,,,
3/18/2011,1415.5,-0.008616953,,,,,,,,,,,,
3/21/2011,1427.75,0.001577149,,,,,,,,,,,,
3/22/2011,1425.5,-0.005247519,,,,,,,,,,,,
3/23/2011,1433,-0.005740644,,,,,,,,,,,,
3/24/2011,1441.25,0.00504305,,,,,,,,,,,,
3/25/2011,1434,0.009810871,,,,,,,,,,,,
3/28/2011,1420,0.004234304,,,,,,,,,,,,
3/29/2011,1414,-0.003529831,,,,,,,,,,,,
3/30/2011,1419,-0.008421102,,,,,,,,,,,,
3/31/2011,1431,-0.002442856,,,,,,,,,,,,
4/1/2011,1434.5,0.001395187,,,,,,,,,,,,
4/4/2011,1432.5,-0.001395187,,,,,,,,,,,,
4/5/2011,1434.5,-0.015563171,,,,,,,,,,,,
4/6/2011,1457,0.00034323,,,,,,,,,,,,
4/7/2011,1456.5,-0.009566182,,,,,,,,,,,,
4/8/2011,1470.5,0.000680272,,,,,,,,,,,,
4/11/2011,1469.5,0.005629973,,,,,,,,,,,,
4/12/2011,1461.25,0.0022266,,,,,,,,,,,,
4/13/2011,1458,0.000342994,,,,,,,,,,,,
4/14/2011,1457.5,-0.010238997,,,,,,,,,,,,
4/15/2011,1472.5,-0.008116379,,,,,,,,,,,,
4/18/2011,1484.5,-0.007048192,,,,,,,,,,,,
4/19/2011,1495,-0.006666691,,,,,,,,,,,,
4/20/2011,1505,-0.001328021,,,,,,,,,,,,
4/21/2011,1507,0.001328021,,,,,,,,,,,,
4/26/2011,1505,-0.001991371,,,,,,,,,,,,
4/27/2011,1508,-0.015136847,,,,,,,,,,,,
4/28/2011,1531,-0.010073196,,,,,,,,,,,,
5/3/2011,1546.5,0.006812678,,,,,,,,,,,,
5/4/2011,1536,0.014096283,,,,,,,,,,,,
5/5/2011,1514.5,0.01782044,,,,,,,,,,,,
5/6/2011,1487.75,-0.011527987,,,,,,,,,,,,
5/9/2011,1505,-0.008106588,,,,,,,,,,,,
5/10/2011,1517.25,-0.004767002,,,,,,,,,,,,
5/11/2011,1524.5,0.024065554,,,,,,,,,,,,
5/12/2011,1488.25,-0.01517075,,,,,,,,,,,,
5/13/2011,1511,0.010645476,,,,,,,,,,,,
5/16/2011,1495,-0.000334392,,,,,,,,,,,,
5/17/2011,1495.5,0.002845905,,,,,,,,,,,,
5/18/2011,1491.25,0.001677853,,,,,,,,,,,,
5/19/2011,1488.75,-0.009359921,,,,,,,,,,,,
5/20/2011,1502.75,-0.003819017,,,,,,,,,,,,
5/23/2011,1508.5,-0.008087855,,,,,,,,,,,,
5/24/2011,1520.75,-0.004101392,,,,,,,,,,,,
5/25/2011,1527,0.003608336,,,,,,,,,,,,
5/26/2011,1521.5,-0.00229772,,,,,,,,,,,,
5/27/2011,1525,-0.007838054,,,,,,,,,,,,
5/31/2011,1537,0.003095221,,,,,,,,,,,,
6/1/2011,1532.25,-0.005532067,,,,,,,,,,,,
6/2/2011,1540.75,0.006348194,,,,,,,,,,,,
6/3/2011,1531,-0.007645422,,,,,,,,,,,,
6/6/2011,1542.75,-0.003655602,,,,,,,,,,,,
6/7/2011,1548.4,0.008366079,,,,,,,,,,,,
6/8/2011,1535.5,0.000977358,,,,,,,,,,,,
6/9/2011,1534,-0.004552853,,,,,,,,,,,,
6/10/2011,1541,0.010633887,,,,,,,,,,,,
6/13/2011,1524.7,0.003745446,,,,,,,,,,,,
6/14/2011,1519,0.000823249,,,,,,,,,,,,
6/15/2011,1517.75,-0.004765435,,,,,,,,,,,,
6/16/2011,1525,-0.000819336,,,,,,,,,,,,
6/17/2011,1526.25,-0.007018718,,,,,,,,,,,,
6/20/2011,1537,-0.003896109,,,,,,,,,,,,
6/21/2011,1543,-0.001942377,,,,,,,,,,,,
6/22/2011,1546,0.002914982,,,,,,,,,,,,
6/23/2011,1541.5,0.013387955,,,,,,,,,,,,
6/24/2011,1521,0.013236461,,,,,,,,,,,,
6/27/2011,1501,-0.000998835,,,,,,,,,,,,
6/28/2011,1502.5,-0.002326742,,,,,,,,,,,,
6/29/2011,1506,-0.00132714,,,,,,,,,,,,
6/30/2011,1508,0.010164213,,,,,,,,,,,,
7/1/2011,1492.75,-0.00167336,,,,,,,,,,,,
7/4/2011,1495.25,-0.00233801,,,,,,,,,,,,
7/5/2011,1498.75,-0.011311925,,,,,,,,,,,,
7/6/2011,1515.8,-0.006870394,,,,,,,,,,,,
7/7/2011,1526.25,0.000163814,,,,,,,,,,,,
7/8/2011,1526,-0.011402632,,,,,,,,,,,,
7/11/2011,1543.5,-0.000647668,,,,,,,,,,,,
7/12/2011,1544.5,-0.017330344,,,,,,,,,,,,
7/13/2011,1571.5,-0.013274531,,,,,,,,,,,,
7/14/2011,1592.5,0.008830079,,,,,,,,,,,,
7/15/2011,1578.5,-0.012434252,,,,,,,,,,,,
7/18/2011,1598.25,-0.002343568,,,,,,,,,,,,
7/19/2011,1602,0.011141739,,,,,,,,,,,,
7/20/2011,1584.25,-0.010204971,,,,,,,,,,,,
7/21/2011,1600.5,0.007840718,,,,,,,,,,,,
7/22/2011,1588,-0.019024432,,,,,,,,,,,,
7/25/2011,1618.5,0.005265615,,,,,,,,,,,,
7/26/2011,1610,-0.006809064,,,,,,,,,,,,
7/27/2011,1621,0.002161495,,,,,,,,,,,,
7/28/2011,1617.5,0.002321084,,,,,,,,,,,,
7/29/2011,1613.75,0.000154931,,,,,,,,,,,,
8/1/2011,1613.5,-0.006486509,,,,,,,,,,,,
8/2/2011,1624,-0.026433257,,,,,,,,,,,,
8/3/2011,1667.5,0.001950927,,,,,,,,,,,,
8/4/2011,1664.25,-0.000450552,,,,,,,,,,,,
8/5/2011,1665,-0.026522038,,,,,,,,,,,,
8/8/2011,1709.75,-0.034632386,,,,,,,,,,,,
8/9/2011,1770,0.009223194,,,,,,,,,,,,
8/10/2011,1753.75,-0.01822213,,,,,,,,,,,,
8/11/2011,1786,0.017509626,,,,,,,,,,,,
8/12/2011,1755,0.00973383,,,,,,,,,,,,
8/15/2011,1738,-0.023316382,,,,,,,,,,,,
8/16/2011,1779,-0.007280906,,,,,,,,,,,,
8/17/2011,1792,-0.001394117,,,,,,,,,,,,
8/18/2011,1794.5,-0.036924747,,,,,,,,,,,,
8/19/2011,1862,-0.008423073,,,,,,,,,,,,
8/22/2011,1877.75,-0.004649009,,,,,,,,,,,,
8/23/2011,1886.5,0.019537621,,,,,,,,,,,,
8/24/2011,1850,0.074898305,,,,,,,,,,,,
8/25/2011,1716.5,-0.040250902,,,,,,,,,,,,
8/26/2011,1787,-0.002235887,,,,,,,,,,,,
8/30/2011,1791,-0.019353659,,,,,,,,,,,,
8/31/2011,1826,0.00576687,,,,,,,,,,,,
9/1/2011,1815.5,-0.020984555,,,,,,,,,,,,
9/2/2011,1854,-0.022664615,,,,,,,,,,,,
9/5/2011,1896.5,0.002904292,,,,,,,,,,,,
9/6/2011,1891,0.025168665,,,,,,,,,,,,
9/7/2011,1844,0.009261848,,,,,,,,,,,,
9/8/2011,1827,-0.028330507,,,,,,,,,,,,
9/9/2011,1879.5,0.019611105,,,,,,,,,,,,
9/12/2011,1843,0.020280224,,,,,,,,,,,,
9/13/2011,1806,-0.012654914,,,,,,,,,,,,
9/14/2011,1829,0.012654914,,,,,,,,,,,,
9/15/2011,1806,0.015625318,,,,,,,,,,,,
9/16/2011,1778,-0.021697652,,,,,,,,,,,,
9/19/2011,1817,0.013854475,,,,,,,,,,,,
9/20/2011,1792,-0.010132643,,,,,,,,,,,,
9/21/2011,1810.25,0.025031021,,,,,,,,,,,,
9/22/2011,1765.5,0.020312528,,,,,,,,,,,,
9/23/2011,1730,0.068786452,,,,,,,,,,,,
9/26/2011,1615,-0.034087293,,,,,,,,,,,,
9/27/2011,1671,0.009621241,,,,,,,,,,,,
9/28/2011,1655,0.02137486,,,,,,,,,,,,
9/29/2011,1620,-0.00554018,,,,,,,,,,,,
9/30/2011,1629,-0.018851273,,,,,,,,,,,,
10/3/2011,1660,-0.007202912,,,,,,,,,,,,
10/4/2011,1672,0.044016885,,,,,,,,,,,,
10/5/2011,1600,-0.030468582,,,,,,,,,,,,
10/6/2011,1649.5,-0.000908953,,,,,,,,,,,,
10/7/2011,1651,-0.007843177,,,,,,,,,,,,
10/10/2011,1664,0.001202646,,,,,,,,,,,,
10/11/2011,1662,-0.014930107,,,,,,,,,,,,
10/12/2011,1687,0.008333382,,,,,,,,,,,,
10/13/2011,1673,-0.00179158,,,,,,,,,,,,
10/14/2011,1676,-0.007726636,,,,,,,,,,,,
10/17/2011,1689,0.018524581,,,,,,,,,,,,
10/18/2011,1658,0.004230892,,,,,,,,,,,,
10/19/2011,1651,0.013414835,,,,,,,,,,,,
10/20/2011,1629,0.003690041,,,,,,,,,,,,
10/21/2011,1623,-0.017104876,,,,,,,,,,,,
10/24/2011,1651,-0.003174846,,,,,,,,,,,,
10/25/2011,1656.25,-0.033690209,,,,,,,,,,,,
10/26/2011,1713,0.002923124,,,,,,,,,,,,
10/27/2011,1708,-0.015684318,,,,,,,,,,,,
10/28/2011,1735,0.00984659,,,,,,,,,,,,
10/31/2011,1718,0.009356793,,,,,,,,,,,,
11/1/2011,1702,-0.016895246,,,,,,,,,,,,
11/2/2011,1731,-0.000866176,,,,,,,,,,,,
11/3/2011,1732.5,-0.013473043,,,,,,,,,,,,
11/4/2011,1756,-0.004545462,,,,,,,,,,,,
11/7/2011,1764,-0.016863806,,,,,,,,,,,,
11/8/2011,1794,0.007834399,,,,,,,,,,,,
11/9/2011,1780,0.007896262,,,,,,,,,,,,
11/10/2011,1766,0.001133145,,,,,,,,,,,,
11/11/2011,1764,-0.009310266,,,,,,,,,,,,
11/14/2011,1780.5,0.008743533,,,,,,,,,,,,
11/15/2011,1765,-0.004522337,,,,,,,,,,,,
11/16/2011,1773,0.009634532,,,,,,,,,,,,
11/17/2011,1756,0.014917087,,,,,,,,,,,,
11/18/2011,1730,0.01514298,,,,,,,,,,,,
11/21/2011,1704,0.003821848,,,,,,,,,,,,
11/22/2011,1697.5,0.006797721,,,,,,,,,,,,
11/23/2011,1686,-0.007680983,,,,,,,,,,,,
11/24/2011,1699,0.013629841,,,,,,,,,,,,
11/25/2011,1676,-0.022419818,,,,,,,,,,,,
11/28/2011,1714,-0.001748762,,,,,,,,,,,,
11/29/2011,1717,0.007600154,,,,,,,,,,,,
11/30/2011,1704,-0.02663736,,,,,,,,,,,,
12/1/2011,1750,-0.000571265,,,,,,,,,,,,
12/2/2011,1751,0.004005728,,,,,,,,,,,,
12/5/2011,1744,0.013857035,,,,,,,,,,,,
12/6/2011,1720,-0.006374985,,,,,,,,,,,,
12/7/2011,1731,-0.004610959,,,,,,,,,,,,
12/8/2011,1739,0.015647958,,,,,,,,,,,,
12/9/2011,1712,0.018868484,,,,,,,,,,,,
12/12/2011,1680,0.00896867,,,,,,,,,,,,
12/13/2011,1665,0.018182319,,,,,,,,,,,,
12/14/2011,1635,0.027908788,,,,,,,,,,,,
12/15/2011,1590,0.000314515,,,,,,,,,,,,
12/16/2011,1589.5,-0.00219953,,,,,,,,,,,,
12/19/2011,1593,-0.007504726,,,,,,,,,,,,
12/20/2011,1605,-0.020046932,,,,,,,,,,,,
12/21/2011,1637.5,0.017557821,,,,,,,,,,,,
12/22/2011,1609,0.000932691,,,,,,,,,,,,
12/23/2011,1607.5,0.014726884,,,,,,,,,,,,
12/28/2011,1584,0.029795573,,,,,,,,,,,,
12/29/2011,1537.5,-0.023780041,,,,,,,,,,,,
12/30/2011,1574.5,-0.009796255,,,,,,,,,,,,
1/3/2012,1590,-0.008142857,,,,,,,,,,,,
1/4/2012,1603,-0.007148438,,,,,,,,,,,,
1/5/2012,1614.5,-0.004017932,,,,,,,,,,,,
1/6/2012,1621,0.001852424,,,,,,,,,,,,
1/9/2012,1618,-0.00554701,,,,,,,,,,,,
1/10/2012,1627,-0.008567984,,,,,,,,,,,,
1/11/2012,1641,-0.006983481,,,,,,,,,,,,
1/12/2012,1652.5,0.006374282,,,,,,,,,,,,
1/13/2012,1642,-0.000913103,,,,,,,,,,,,
1/16/2012,1643.5,-0.011193582,,,,,,,,,,,,
1/17/2012,1662,0.003012958,,,,,,,,,,,,
1/18/2012,1657,-0.004215604,,,,,,,,,,,,
1/19/2012,1664,0.01087624,,,,,,,,,,,,
1/20/2012,1646,-0.017465063,,,,,,,,,,,,
1/23/2012,1675,0.003588521,,,,,,,,,,,,
1/24/2012,1669,0.006009633,,,,,,,,,,,,
1/25/2012,1659,-0.032031208,,,,,,,,,,,,
1/26/2012,1713,-0.005240187,,,,,,,,,,,,
1/27/2012,1722,0.00087146,,,,,,,,,,,,
1/30/2012,1720.5,-0.010120081,,,,,,,,,,,,
1/31/2012,1738,-0.003446299,,,,,,,,,,,,
2/1/2012,1744,-0.00200487,,,,,,,,,,,,
2/2/2012,1747.5,-0.006843483,,,,,,,,,,,,
2/3/2012,1759.5,0.024451096,,,,,,,,,,,,
2/6/2012,1717,-0.001745709,,,,,,,,,,,,
2/7/2012,1720,-0.013283476,,,,,,,,,,,,
2/8/2012,1743,0.005753756,,,,,,,,,,,,
2/9/2012,1733,0.010149427,,,,,,,,,,,,
2/10/2012,1715.5,-0.006681216,,,,,,,,,,,,
2/13/2012,1727,0.003480282,,,,,,,,,,,,
2/14/2012,1721,-0.002611346,,,,,,,,,,,,
2/15/2012,1725.5,0.005520862,,,,,,,,,,,,
2/16/2012,1716,-0.009280809,,,,,,,,,,,,
2/17/2012,1732,0.001444461,,,,,,,,,,,,
2/20/2012,1729.5,-0.004327138,,,,,,,,,,,,
2/21/2012,1737,-0.010166909,,,,,,,,,,,,
2/22/2012,1754.75,-0.01231874,,,,,,,,,,,,
2/23/2012,1776.5,-0.001125176,,,,,,,,,,,,
2/24/2012,1778.5,0.007619622,,,,,,,,,,,,
2/27/2012,1765,-0.005508878,,,,,,,,,,,,
2/28/2012,1774.75,-0.007438109,,,,,,,,,,,,
2/29/2012,1788,0.03819216,,,,,,,,,,,,
3/1/2012,1721,0.003784024,,,,,,,,,,,,
3/2/2012,1714.5,0.009670405,,,,,,,,,,,,
