precision,recall,validation_completion_time,completion_time
0.6052753846153845,0.6052753846153845,140.50534963607788,144.89558124542236
0.6049553846153847,0.6049553846153847,140.97856163978577,145.04741382598877
0.6051292307692309,0.6051292307692309,143.79175567626953,147.9712357521057
0.6050092307692309,0.6050092307692309,142.6822533607483,147.04695892333984
0.6050599999999999,0.6050599999999999,141.5775489807129,145.82024669647217
0.6045707692307692,0.6045707692307692,142.88304686546326,147.0887861251831
0.6050061538461539,0.6050061538461539,143.1175217628479,147.54273319244385
0.605143076923077,0.605143076923077,145.54885983467102,149.69416737556458
0.6048646153846154,0.6048646153846154,142.3165783882141,146.57903242111206
0.605003076923077,0.605003076923077,143.96571707725525,148.0970401763916
