precision,recall,validation_completion_time,completion_time
0.605163076923077,0.605163076923077,102.48763060569763,108.8808388710022
0.6052123076923077,0.6052123076923077,102.92975163459778,108.47599625587463
0.6052184615384615,0.6052184615384615,103.20448088645935,108.76236367225647
0.6056369230769232,0.6056369230769232,102.15751457214355,108.44985485076904
0.6051430769230769,0.6051430769230769,102.94659924507141,108.35284471511841
0.6052846153846153,0.6052846153846153,103.13196635246277,108.75314545631409
0.6054538461538461,0.6054538461538461,103.31970238685608,108.86628007888794
0.6053092307692307,0.6053092307692307,103.76450610160828,110.15514206886292
0.6049815384615386,0.6049815384615386,103.31728219985962,108.73524618148804
0.6052476923076923,0.6052476923076923,103.02051115036011,108.52828669548035
