precision,recall,validation_completion_time,completion_time
0.9823089285714286,0.9823089285714286,57.86101841926575,61.543954372406006
0.9823017857142856,0.9823017857142856,61.77871894836426,65.37531566619873
0.9823428571428572,0.9823428571428572,59.07336068153381,62.73044157028198
0.9823964285714286,0.9823964285714286,58.61094284057617,62.291911602020264
0.9822285714285716,0.9822285714285716,62.11961269378662,65.77366399765015
0.9823678571428571,0.9823678571428571,59.67685294151306,63.259987115859985
0.9823107142857141,0.9823107142857141,59.321526288986206,62.92422962188721
0.9823999999999999,0.9823999999999999,58.67235827445984,62.346729040145874
0.9822964285714285,0.9822964285714285,58.34874081611633,62.11731004714966
0.9823767857142857,0.9823767857142857,57.97727060317993,61.55419135093689
