set_index,precision,recall,cpu_time,total_completion_time
0,0.9813517857142857,0.9813517857142857,554.9220571041108,556.6599271297455
1,0.9817982142857143,0.9817982142857143,554.9612772941589,556.6599271297455
2,0.9822964285714285,0.9822964285714285,376.62738037109375,556.6599271297455
3,0.9826375,0.9826375,371.8631417274475,556.6599271297455
4,0.9814910714285716,0.9814910714285716,555.6316457271575,556.6599271297455
0,0.9813714285714287,0.9813714285714287,558.7895922660828,560.2442276477814
1,0.9819035714285714,0.9819035714285714,559.8343151092529,560.2442276477814
2,0.9822142857142857,0.9822142857142857,373.14406366348265,560.2442276477814
3,0.9826071428571428,0.9826071428571428,377.49206471443176,560.2442276477814
4,0.9814428571428572,0.9814428571428572,558.7322709083558,560.2442276477814
0,0.9813267857142858,0.9813267857142858,553.0426750659942,554.1005585193634
1,0.9817803571428574,0.9817803571428574,553.6617939472198,554.1005585193634
2,0.9822857142857144,0.9822857142857144,373.9689322471619,554.1005585193634
3,0.9825249999999999,0.9825249999999999,373.47580924034116,554.1005585193634
4,0.9815178571428571,0.9815178571428571,552.7018628597259,554.1005585193634
0,0.9812571428571427,0.9812571428571427,560.5560584068298,561.9127190113068
1,0.981757142857143,0.981757142857143,560.7279414176941,561.9127190113068
2,0.9823214285714286,0.9823214285714286,375.5103710651398,561.9127190113068
3,0.982542857142857,0.982542857142857,381.735529088974,561.9127190113068
4,0.9815035714285715,0.9815035714285715,560.4067939281464,561.9127190113068
0,0.9812964285714285,0.9812964285714285,554.0718750953674,555.6442646980286
1,0.9817482142857143,0.9817482142857143,553.6975524425507,555.6442646980286
2,0.982375,0.982375,369.55452289581297,555.6442646980286
3,0.9825089285714286,0.9825089285714286,374.3909636497498,555.6442646980286
4,0.9815732142857142,0.9815732142857142,553.9966419696808,555.6442646980286
