set_index,precision,recall,cpu_time,total_completion_time
0,0.6067676923076923,0.6067676923076923,1325.9598019599914,1329.7983634471893
1,0.6072107692307692,0.6072107692307692,1327.7954518795013,1329.7983634471893
2,0.6068384615384617,0.6068384615384617,888.6220895290375,1329.7983634471893
3,0.6059953846153847,0.6059953846153847,886.7850832462311,1329.7983634471893
4,0.60692,0.60692,1327.6514775276185,1329.7983634471893
0,0.6067384615384616,0.6067384615384616,1317.0393516540528,1322.7300510406494
1,0.6073646153846154,0.6073646153846154,1318.847099351883,1322.7300510406494
2,0.6071707692307692,0.6071707692307692,886.7768901348114,1322.7300510406494
3,0.6060153846153845,0.6060153846153845,892.2708710193634,1322.7300510406494
4,0.6070446153846154,0.6070446153846154,1319.3302785396577,1322.7300510406494
0,0.6065830769230769,0.6065830769230769,1319.294688796997,1326.742088317871
1,0.6072384615384616,0.6072384615384616,1324.7794291973114,1326.742088317871
2,0.6067107692307692,0.6067107692307692,887.7801619529724,1326.742088317871
3,0.6060184615384616,0.6060184615384616,880.946595287323,1326.742088317871
4,0.6070615384615385,0.6070615384615385,1322.174809885025,1326.742088317871
0,0.6068246153846154,0.6068246153846154,1326.437771987915,1327.989585161209
1,0.6071646153846153,0.6071646153846153,1325.6929119110107,1327.989585161209
2,0.6068907692307692,0.6068907692307692,888.7971089363098,1327.989585161209
3,0.6060184615384615,0.6060184615384615,901.5797791957855,1327.989585161209
4,0.6068630769230771,0.6068630769230771,1324.593835401535,1327.989585161209
0,0.6068,0.6068,1374.0816643238068,1375.6750485897064
1,0.6072953846153846,0.6072953846153846,1371.621423149109,1375.6750485897064
2,0.6068769230769231,0.6068769230769231,897.0603885173798,1375.6750485897064
3,0.6060569230769232,0.6060569230769232,900.5864194393158,1375.6750485897064
4,0.6067076923076924,0.6067076923076924,1372.9721408367157,1375.6750485897064
