precision,recall,cpu_time,total_completion_time
0.9132416666666666,0.9132416666666666,11.74012246131897,12.015299320220947
0.9133833333333333,0.9133833333333333,12.234601593017578,12.757763147354126
0.9135333333333333,0.9135333333333333,12.016832113265991,12.15640115737915
0.9131833333333335,0.9131833333333335,12.33939323425293,12.491954565048218
0.9135250000000001,0.9135250000000001,11.963587188720703,12.044867277145386
0.9132166666666667,0.9132166666666667,11.975255298614503,12.091889142990112
0.9135666666666667,0.9135666666666667,12.02977237701416,12.269741773605347
0.91335,0.91335,12.202026844024658,12.369972705841064
0.913325,0.913325,12.322253561019897,12.495564222335815
0.9134583333333334,0.9134583333333334,12.03569393157959,12.187084197998047
