precision,recall,cpu_time,total_completion_time
0.60508,0.60508,192.91034164428712,193.46421456336975
0.6049661538461538,0.6049661538461538,164.4400408744812,164.66140604019165
0.6050723076923077,0.6050723076923077,164.6520140171051,165.39627933502197
0.6050615384615384,0.6050615384615384,164.07388777732848,164.43196439743042
0.6050215384615385,0.6050215384615385,163.50297417640687,164.02036237716675
0.6051261538461539,0.6051261538461539,167.28385291099548,167.88740706443787
0.6051661538461538,0.6051661538461538,165.06001019477844,165.855694770813
0.6048384615384614,0.6048384615384614,169.29006810188292,170.03241109848022
0.6051138461538461,0.6051138461538461,163.18491253852844,164.3342182636261
0.6049861538461538,0.6049861538461538,162.789546918869,164.25693011283875
