precision,recall,cpu_time,total_completion_time
0.9133083333333334,0.9133083333333334,8.999007081985473,9.275001764297485
0.9136416666666667,0.9136416666666667,7.657265377044678,7.736643314361572
0.9133833333333333,0.9133833333333333,7.99671368598938,8.129424810409546
0.9135500000000001,0.9135500000000001,9.173627185821534,9.258029222488403
0.9133666666666667,0.9133666666666667,8.699147844314576,8.771621942520142
0.9138833333333334,0.9138833333333334,8.549214410781861,8.639076709747314
0.9132333333333333,0.9132333333333333,8.651045513153075,8.70784592628479
0.9138,0.9138,8.319894504547118,8.354361772537231
0.9131916666666667,0.9131916666666667,8.602124691009521,8.67945122718811
0.9136916666666666,0.9136916666666666,8.570547342300415,8.632572412490845
