set_index,precision,recall,cpu_time,total_completion_time
0,0.9077916666666667,0.9077916666666667,35.991945600509645,117.31313824653625
1,0.9043833333333333,0.9043833333333333,116.90733742713928,117.31313824653625
2,0.907,0.907,116.83322415351867,117.31313824653625
3,0.9054583333333334,0.9054583333333334,35.52493987083435,117.31313824653625
4,0.9137583333333332,0.9137583333333332,90.83663396835327,117.31313824653625
5,0.9071916666666666,0.9071916666666666,36.766683626174924,117.31313824653625
6,0.9109,0.9109,88.98437423706055,117.31313824653625
7,0.9113416666666666,0.9113416666666666,116.92020869255066,117.31313824653625
8,0.9117416666666667,0.9117416666666667,90.65481429100036,117.31313824653625
9,0.9121833333333333,0.9121833333333333,89.72641096115112,117.31313824653625
0,0.9074333333333332,0.9074333333333332,35.58020286560058,116.25257229804993
1,0.903475,0.903475,115.81473116874695,116.25257229804993
2,0.907175,0.907175,116.00158681869507,116.25257229804993
3,0.9052749999999999,0.9052749999999999,35.007035970687866,116.25257229804993
4,0.9135833333333334,0.9135833333333334,88.29422950744629,116.25257229804993
5,0.9074916666666667,0.9074916666666667,35.54641580581665,116.25257229804993
6,0.9104333333333333,0.9104333333333333,88.61489715576172,116.25257229804993
7,0.9111499999999999,0.9111499999999999,115.78262376785278,116.25257229804993
8,0.9119583333333333,0.9119583333333333,88.3975935935974,116.25257229804993
9,0.9125250000000001,0.9125250000000001,88.45313143730164,116.25257229804993
0,0.9077916666666667,0.9077916666666667,34.77951798439026,116.76752853393555
1,0.9046,0.9046,116.39246606826782,116.76752853393555
2,0.9066666666666666,0.9066666666666666,116.49302630424499,116.76752853393555
3,0.9052833333333332,0.9052833333333332,35.15716652870178,116.76752853393555
4,0.9135416666666666,0.9135416666666666,89.5321228981018,116.76752853393555
5,0.9074416666666668,0.9074416666666668,35.87714810371399,116.76752853393555
6,0.9103666666666665,0.9103666666666665,88.5394211769104,116.76752853393555
7,0.9112666666666666,0.9112666666666666,116.5434075832367,116.76752853393555
8,0.9120833333333334,0.9120833333333334,88.83774938583375,116.76752853393555
9,0.9126749999999999,0.9126749999999999,88.77578654289246,116.76752853393555
0,0.9075,0.9075,35.2636559009552,117.39085483551025
1,0.9041166666666667,0.9041166666666667,117.03638439178467,117.39085483551025
2,0.9069666666666667,0.9069666666666667,117.02732672691346,117.39085483551025
3,0.9052583333333335,0.9052583333333335,35.17208023071289,117.39085483551025
4,0.9135583333333333,0.9135583333333333,89.28818454742432,117.39085483551025
5,0.9070083333333333,0.9070083333333333,35.761137866973876,117.39085483551025
6,0.911075,0.911075,89.74889326095581,117.39085483551025
7,0.9115916666666667,0.9115916666666667,117.18541684150696,117.39085483551025
8,0.9121666666666666,0.9121666666666666,89.23201570510864,117.39085483551025
9,0.9123666666666667,0.9123666666666667,88.34242000579835,117.39085483551025
0,0.9077249999999999,0.9077249999999999,36.4558189868927,116.99365496635437
1,0.9042416666666666,0.9042416666666666,116.82508697509766,116.99365496635437
2,0.9076083333333334,0.9076083333333334,116.83547224998475,116.99365496635437
3,0.9056583333333335,0.9056583333333335,34.909899139404295,116.99365496635437
4,0.9135500000000001,0.9135500000000001,88.39517912864684,116.99365496635437
5,0.9069166666666668,0.9069166666666668,35.40897908210754,116.99365496635437
6,0.9109999999999999,0.9109999999999999,88.85255169868469,116.99365496635437
7,0.9111749999999998,0.9111749999999998,116.56755576133727,116.99365496635437
8,0.9118916666666668,0.9118916666666668,88.98288850784301,116.99365496635437
9,0.9124416666666665,0.9124416666666665,89.16427326202393,116.99365496635437
